word_english,word_german,valence,arousal,dominance
accident,Unfall,2.55,4.93,3
accidental,zufällig,3.46,4,3.41
acclaim,Anerkennung,6.1,3.95,5.77
accommodate,unterbringen,6.35,3,6.27
accommodation,Unterkunft,6.76,4.72,6
accompany,begleiten,5.47,3.85,5.63
accomplice,der Mitschuldige,4.6,4.5,5.2
accomplish,erreichen,7.45,5.16,7.27
accomplishment,Leistung,8.05,4.96,6.5
accord,Vereinbarung,6.38,2.85,5.64
accordion,Akkordeon,5.26,2.94,5.21
account,Konto,5.39,3.76,5.06
accountability,Rechenschaftspflicht,4.89,3.7,6.55
accountable,verantwortlich,5.7,4.2,5.57
accountant,Buchhalter,5.19,3.81,5.72
accounting,Buchhaltung,4.42,3.68,4.48
accumulate,akkumulieren,6.33,2.73,6.15
accuracy,Richtigkeit,6.32,3.33,6.74
accurate,genau,7.42,4.35,6.47
accursed,verflucht,3.21,5.33,4.13
accusation,Anklage,3.38,5.48,3.62
accuse,beschuldigen,2.68,5.32,4
ace,As,6.37,4.64,6.61
acetylene,Acetylen,4.11,3.67,4.7
ache,schmerzen,3.27,4.3,4
achieve,leisten,7.75,4.7,6.61
achievement,Leistung,7.28,5.57,7.17
achy,Achy,3.15,4.48,4.62
acid,Acid,3.26,4.77,4.26
acknowledge,bestätigen,6.43,3.26,6.11
acknowledgement,Wissen,6.53,3.3,6.71
acne,Akne,2.18,4.47,3.44
acorn,Eichel,5.85,4.42,4.77
acoustic,akustisch,7.1,4,5.79
acoustics,Akustik,6.33,3.19,5.86
acquaintance,Bekanntschaft,5.58,3.24,5.29
acquire,erwerben,5.5,4.86,7
acquisition,Erwerb,5,4.36,5.93
acquit,Empfang,5.6,4.56,5.45
acquittal,Freispruch,6.19,4.95,5.03
acre,Acre,5.53,2.73,4.94
acreage,Anbaufläche,5.25,3.74,5.52
acrobat,acrobat,6,4.9,5.42
acrylic,Acryl,5.52,3.73,5.42
act,Handlung,5.64,4.19,6.11
action,Aktion,6,6.19,6.17
action figure,Action Figur,6.18,4.65,6.71
activate,aktivieren Sie,5.7,3.78,6.28
activation,Aktivierung,6.14,3.52,6.88
active,aktiv,6.47,5.62,6.32
activist,Aktivist,6.24,5.26,5.86
activity,Aktivität,6.21,4.86,6.45
actor,Darsteller,6.15,4.35,5.64
actress,Darstellerin,5.42,5.43,4.65
actual,tatsächlich,6.22,2.75,5.54
actuality,Wirklichkeit,5.4,5.55,5.24
acupuncture,Akupunktur,4.81,4.9,4.77
acute,akut,5.1,5.09,5.11
ad,zu,4.11,3.33,5.18
adage,Sprichwort,5.55,3.38,5.13
adamant,unnachgiebig,5.45,5.74,6.38
adapt,anpassen,5.84,3.9,5.75
adaptation,Anpassung,5.82,3.55,6.04
add,hinzufügen,6.23,4,6.79
adder,Natter,4.45,3.24,4.41
addict,Süchtige,2.86,5.33,2.74
addicted,süchtig,2.89,4.77,2.84
addiction,Sucht,3.52,4.48,3.84
addictive,süchtig machend,3.52,4.82,4.4
additional,zusätzlich,6.15,3.61,4.95
address,Adresse,6.11,3.05,4.89
adept,geschickt,6.14,4.17,6.5
adequate,angemessene,4.7,3.64,6.89
adhere,haften,5.17,3.52,3.9
adhesive,Klebstoff,5.84,3.2,4.88
Adidas,Adidas,5.77,4.18,6.3
adjacent,benachbart,5.15,2.78,4.27
adjective,adjective,5.95,3.64,6.11
adjoining,angrenzend,5.06,3.52,4.65
adjourn,vertagen,5.5,3.15,5.75
adjust,einstellen,5.76,3,6
adjuster,Teller,4.25,3.5,5.84
adjustment,Einstellung,5.53,4.59,4.53
admin,Administrator,4.37,3.64,5.83
administer,verwalten,4.4,3.86,6.33
administration,Verwaltung,4.45,3.23,4.77
administrative,administrativ,4.79,3.21,5.9
administrator,Administrator,5.32,4.74,5.48
admirable,bewundernswert,7,4.57,5.81
admiral,Admiral,4.8,4.05,5.68
admiralty,Admiralität,6.16,4.27,6.08
admiration,Bewunderung,7.58,5.52,6.11
admire,bewundern,7.35,5,7.33
admired,bewunderten,7.25,5.95,6.94
admirer,bewundern,7.05,6,6.27
admissible,zulässig,5.16,2.9,6.21
admission,Eintritt,5.91,3.69,5.54
admit,eingestehen,5.56,3.35,4.56
admittance,Zulassung,6.29,3.6,5.96
ado,Teenager,4.82,3.33,4.48
adobe,adobe,5.25,3.89,5.55
adolescence,Jugend,6,5.1,4.44
adolescent,Jugendliche,5.38,4.2,4
adopt,adoptieren,6.9,4.71,5.45
adoption,Annahme,6.68,4.82,5.62
adoptive,adoptiv,5.67,4.4,5.59
adorable,bezaubernd,7.4,4.66,6.83
adoration,Anbetung,6.47,4.36,6.54
adore,liebe,7.37,5.96,6.26
adoring,bewundernd,7.38,4.86,6.29
adrenalin,adrenalin,6.33,5.05,4.85
adrenaline,Adrenalin,6.61,5.95,5.72
adrift,treibend,4.36,3.19,4.09
adult,Erwachsene,5.9,4.36,6.46
adulterer,Ehebrecher,2.77,5.68,3.2
adultery,Ehebruch,2.81,6.42,3.33
adulthood,Erwachsensein,5.05,4.28,6.11
advance,vorrücken,6.11,4.62,6.12
advanced,fortgeschritten,6.14,3.83,6.96
advancement,Förderung,7.47,5.81,6.38
advantage,Vorteil,6.71,3.95,7.19
advantageous,vorteilhaft,6.79,5.7,6.22
adventure,Abenteuer,7.4,6.36,6.36
adventurer,Abenteurer,7,5.27,5.83
adventurous,abenteuerlich,7.37,6.67,5.71
adversary,Gegner,4.55,4.41,5
adverse,negativ,3.68,3.89,3.35
adversity,Unglück,4.26,3.82,4.63
advertise,werben,5.16,4.29,5.74
advertisement,Werbung,4.3,4.14,5.84
advertising,Werbung,4.68,3.25,5
advice,Rat,5.78,3.05,5.83
advisable,ratsam,5.62,4.36,5.86
advise,beraten,5.44,3.38,6.41
advisement,advisement,4.55,4.04,5.92
adviser,Berater,5.68,3.36,6.18
advisor,Berater,4.74,3.19,5.7
advisory,beratend,4.95,4.05,4.19
advocate,befürworten,5.25,4.59,7.26
aerial,Antenne,6.04,3.67,5.17
aerobics,Aerobic,6,5.1,5.7
aerodynamic,aerodynamisch,6.16,4.33,5.1
aerospace,Luft- und Raumfahrt,5.79,4.52,5.17
aesthetic,ästhetisch,5.43,2.88,5.5
affair,Affäre,3.1,5.4,5.89
affect,beeinflussen,5.65,3.61,6.39
affection,Zuneigung,7.89,5.64,6.6
affectionate,zärtlich,7.23,4.77,6.9
affidavit,eidesstattliche Versicherung,4.38,3.73,4.04
affiliation,Zugehörigkeit,5.32,3.9,5.3
affinity,Affinität,5.86,4.29,6.55
affirmation,Bestätigung,5.95,3.95,6.53
affirmative,positiv,5.94,3.64,6.78
affliction,Gebrechen,3.76,5.1,4.17
afford,sich leisten,6.56,4.33,6.44
affordable,erschwinglich,7.52,4.11,6.16
affront,Beleidigung,4.53,4.5,5.04
afire,ein Feuer,6.05,5.41,4.38
afloat,schwimmend,5.57,4.13,4.96
aforementioned,vorgenannten,5.21,3.5,4.96
afraid,ängstlich,2.25,5.12,2.71
african,afrikanisch,6.42,4.11,5.8
afterlife,Leben nach dem Tod,5.53,4.32,5.86
aftermath,Nachwirkungen,4.29,5.38,4.23
afternoon,Nachmittag,6.68,3.48,5.71
aftershave,Aftershave,5.55,3.5,5.81
age,Alter,5.78,3.71,4.67
agency,Agentur,5.14,3.17,4.89
agenda,Agenda,5.05,3.62,5.36
agent,Agent,5.23,3.43,5.65
aggravate,verschlimmern,2.55,5.9,4.85
aggravation,Verschlimmerung,2.48,5.35,4.45
aggression,aggression,3.18,5.69,4.65
aggressive,aggressiv,3.08,5.87,5.49
aggressiveness,Aggressivität,3.58,6.43,5.21
aggressor,Aggressor,2.8,6.55,4.57
agile,agil,5.95,4.95,6.09
agility,Beweglichkeit,6.55,4.21,6.41
aging,Altern,3,3.8,3.06
agitate,agitieren,3.36,5.82,4.55
agitation,Agitation,2.84,4.75,3.29
aglow,glühend,5.84,4.83,5.59
agonizing,quälend,2.68,6.71,4.04
agony,Qual,2.46,5.78,4
agree,zustimmen,7.17,3.62,6.94
agreeable,angenehm,6.9,3.55,6.97
agreement,Zustimmung,6.75,4.05,6.48
agricultural,landwirtschaftlich,5.5,3.55,5.74
agriculture,Landwirtschaft,6.1,3.05,6
ahoy,Ahoi,5.58,3.95,5.45
aid,Hilfe,6.29,4.55,5.95
aide,Hilfe,5.6,4,7.05
aids,AIDS,3.52,3.75,4.88
AIDS,AIDS,1.33,5,3.55
ailing,kränklich,2.95,4.52,4.15
ailment,Leiden,3,3.68,3.14
aim,Ziel,5.95,4,6.5
air,Luft,6.71,3.25,5.72
airbag,airbag,5.4,3.64,4.81
airborne,Luft,5.25,3.52,4.48
aircraft,Flugzeug,6.3,4.86,5.71
aircraft carrier,Flugzeugträger,5.25,4.64,5.85
airfield,Flugplatz,5.74,4.38,4.82
airhead,airhead,4.1,4.3,4.19
airline,Fluggesellschaft,5.36,4.12,4.92
airliner,Verkehrsflugzeug,6.05,4,4.25
airlock,airlock,4.85,4.23,5
airplane,Flugzeug,5.25,5.62,4.12
airport,Flughafen,6,5.5,5.79
airship,Luftschiff,5.63,4.88,4.43
airspace,Luftraum,5.5,4.4,4.91
airspeed,Fluggeschwindigkeit,4.95,4.33,5.24
airstrip,Start- und Landebahn,4.76,3.83,5.1
airtight,luftdicht,5.1,3.3,4.76
airway,Atemwegs,4.95,4,3.95
aisle,Gang,5.17,2.5,4.87
ajar,ficken,5,3.26,5.28
aka,aka,4.63,3.39,4.4
alabaster,Alabaster,5.5,3.95,5.35
alarm,Alarm,3.86,6.85,6.58
alarm clock,Wecker,3.47,5.36,4.82
alarming,alarmierend,3.52,6.5,4.05
albatross,Albatros,5.68,3.09,4.91
albino,Albino,4.9,3.09,4.05
album,Album,6.19,5.63,5.86
alcohol,Alkohol,4.11,5.17,4
alcoholic,alkoholisch,2.49,5.48,3.27
alcoholism,Alkoholismus,2,5,3
alcove,Alkoven,5.5,3.32,5.33
alderman,Alderman,4.44,3.05,5.04
ale,aber,5.95,4.1,5.17
alert,warnen,5.38,5.14,6.58
alfalfa,Alfalfa,4.79,3.67,5.73
algebra,Algebra,5.4,4.6,4.54
algorithm,Algorithmus,5.3,3.7,4.04
alias,alias,5,4.71,5.94
alibi,alibi,4.16,4.5,5.17
alien,Ausländer,4.45,4.86,3.56
alienate,entfremden,2.79,4.27,3.71
alienation,Entfremdung,2.53,5.14,3.33
alight,aussteigen,5.67,3.86,5.88
align,ausrichten,5.95,3.32,5.95
alignment,Ausrichtung,6,3.92,6.32
alimony,Alimente,3.86,3.09,4.32
alive,am Leben,6.57,5.93,6.77
allegation,Behauptung,3.26,5.9,3.96
alleged,angeblich,3.62,5.09,4.27
allegiance,Treue,5.8,5.17,7.05
allegro,allegro,5,3.89,5.36
allergic,allergisch,3,5.4,3.81
allergy,Allergie,2.9,3.9,3.5
alleviate,lindern,6.25,3.45,5.84
alley,Gasse,4.17,4.08,4.63
alleyway,Gasse,3.46,3.7,5.2
alliance,Allianz,6.14,4.4,5.78
allied,verbündet,5.95,3.38,5.4
alligator,Alligator,4.23,5.36,4.1
allow,ermöglichen,6.39,2.95,6.11
allowance,Beihilfe,6.74,4.05,5.7
alloy,Legierung,5.2,3.32,5.9
allure,locken,6.9,4.25,5.77
alluring,verlockend,6.74,4.35,5.86
ally,Verbündete,6.05,4.8,6.84
almanac,Almanach,5.55,3.24,5.88
almighty,allmächtig,6.15,4.59,5.81
almond,Mandel,6.05,2.89,6.46
aloha,aloha,7.1,3.82,6.33
alone,allein,3.85,4,4.5
aloof,distanziert,4.59,3.09,4.63
alpha,alpha,5.5,3.67,6.32
alphabet,alphabet,5.95,3.15,5.79
alphabetical,alphabetisch,6.32,3,6.14
alpine,alpine,5.84,3.52,5.74
altar,altar,5.59,4.05,5.68
altar boy,altar boy,4.76,3.11,4.62
alter,alter,4.57,4.17,5.57
alteration,Änderung,5.05,4.05,6.15
altercation,Auseinandersetzung,3.61,5.62,4.4
alternate,wechseln,5.15,3.48,5.2
alternating,abwechselnd,5.37,4.27,5.53
alternative,alternative,5.33,3.61,6.33
altimeter,Höhenmesser,4.5,3.61,5
altitude,Höhe,5.27,4.15,5.46
aluminum,Aluminium,5.1,4.05,6
alumnus,ehemaliger Student,4.95,3.23,6.1
alzheimers,alzheimers,2.26,4.5,2
amaretto,amaretto,6,4.04,5.19
amateur,Amateur,4.58,3.55,5.25
amaze,verblüffen,7.24,5,5.83
amazed,erstaunt,7.55,5.95,6.11
amazement,Staunen,7.29,6.3,6.43
amazing,tolle,7.72,6.05,6.83
ambassador,Botschafter,5.5,3.91,6.2
amber,Bernstein,6.15,3.36,6.21
ambience,Ambiente,6.35,3.85,5.57
ambient,Umgebungs,6.33,3.2,4.86
ambiguous,mehrdeutig,5.16,4,5.12
ambition,Ambition,7.28,4.86,6.36
ambitious,ehrgeizig,6.33,5.76,5.88
ambrosia,ambrosia,5.95,4.05,5.67
ambulance,Krankenwagen,3.71,5.33,3.29
ambush,Hinterhalt,3.17,5.58,3.96
amend,ändern,5.85,3.06,4.96
amendment,Änderung,5.6,3.5,4.77
amends,Entschädigung,6.68,3.95,5.96
amiable,freundschaftlich,6.7,2.85,6.14
amino,Amino,4.45,3.83,5.73
ammo,Munition,4.18,5.53,5.52
ammonia,Ammoniak,3.74,3,3.83
ammonium,Ammonium,4.06,4.37,4.84
ammunition,Munition,4.59,5.7,5.95
amnesia,Amnesie,3.43,5.04,3.08
amnesty,Amnestie,5.38,3.86,6
amorous,verliebt,5.95,4.21,6
amount,Menge,5.42,3.53,5.39
amour,liebe,6.43,5.43,5.91
amp,Ampere,5.79,5.05,5.13
amphibian,Amphibie,5.4,3.35,5.42
amphibious,schwimmfähig,5.75,5.7,4.85
ample,reichlich,5.89,3.28,6.04
amputate,amputiert,2.1,5.43,3
amputation,amputation,1.84,4.86,2.85
amuck,Amok,4,4.41,3.74
amulet,Amulett,5.75,3.95,5.79
amuse,Spaß,7.1,5.17,6.8
amused,amüsiert,7.05,4.27,5.93
amusement,Amüsement,7,4.82,6.59
amusing,lustig,7.6,5.18,6.79
anaconda,Anakonda,4.43,6,4.08
anagram,Anagramm,4.37,3.86,4.83
anal,anal,4,4.29,4.45
analogy,Analogie,5.24,3.95,5.33
analysis,Analyse,5.25,3.74,5.95
analyst,Analytiker,5,3.24,4.76
analytical,analytisch,6,4.13,6.43
analyze,analysieren,5.65,4.1,5.96
analyzer,Analysator,4.62,3.48,5.88
anaphylactic,anaphylaktischen,4,5.57,4.17
anarchist,Anarchist,2.76,4.16,4.57
anarchy,Anarchie,3.68,4.86,3.1
anatomy,Anatomie,6.29,4.43,5.95
ancestor,Vorfahr,6.37,3.73,4.81
ancestral,Ahnen-,6.6,3.6,5.05
ancestry,Abstammung,6.29,3.71,4.16
anchor,Anker,5.16,3.32,5.29
anchorage,Anchorage,5.09,3.82,5.8
ancient,alt,7.24,3.48,4.86
android,android,5.62,3.5,5.75
anecdote,Anekdote,5.62,4.65,6
anemia,Anämie,3.05,4.09,3.55
anemic,anämisch,3.45,3.45,3.14
anesthesia,Anästhesie,4.84,3.64,2.95
anesthesiologist,Anästhesist,4.95,3.56,3.68
anesthetic,Betäubung,5.48,3.23,4.72
aneurysm,Aneurysma,2.5,5.38,2.7
angel,Engel,7.71,4.24,5.9
angelic,himmlisch,6.68,4.27,6.32
anger,Zorn,2.5,5.93,5.14
angina,angina,2.85,4.72,4
angiogram,Angiogramm,4.19,3.61,4.28
angle,Winkel,4.55,3.22,5.27
angora,Angora,5.63,2.95,5
angry,wütend,2.53,6.2,4.11
angst,angst,3.5,5.76,3.62
anguish,Pein,3.14,5.41,4.27
anguished,qualvoll,2.78,4.79,2.88
animal,Tier,7.06,4.3,5.72
animated,lebhaft,6.65,5.77,6.71
animation,Animation,6.42,5.52,5.16
animosity,Feindseligkeit,3.4,5.83,5.04
ankle,Knöchel,5.4,3.11,5.58
anklet,Fußring,4.75,3.57,5.08
annals,Annalen,4.8,2.6,4.95
annex,annektieren,4.41,4,5.26
annihilate,vernichten,3.15,6.44,4.62
annihilation,Vernichtung,2.58,5.52,3.2
anniversary,Jahrestag,6.95,4,6.86
announce,bekannt geben,5.52,3.65,5.48
announcement,Ankündigung,5.81,4.3,5.05
announcer,Ansager,5.84,4.5,4.07
annoy,Nerven,2.49,5.04,4.64
annoyance,Ärger,2.95,4.1,3.45
annoyed,verärgert,2.8,5.29,4.08
annoying,nervig,3,5.55,3.28
annual,jährlich,5.19,3.7,4.9
annul,annullieren,3.83,4.23,4.9
annulment,Aufhebung,4.05,4.14,4.15
anointed,gesalbt,4.79,3.32,5.18
anomaly,Anomalie,4.84,4.25,4.26
anonymity,Anonymität,4.81,3.29,5.88
anonymous,anonym,5.75,4.13,5.48
anorexic,anorexic,2.71,4.24,3.43
answer,Antworten,6.1,4,5.95
ant,auf,3.9,3.27,5.3
antagonistic,antagonistisch,4.32,4.11,4.41
antagonize,verärgern,3.15,4.95,4
antelope,Antilope,5.68,4.46,5.57
antenna,Antenne,5.43,3.15,5.67
anterior,früher,4.89,3.36,4.64
anthem,Hymne,5.95,4.48,6.29
anthill,Ameisenhaufen,4.32,4.63,4.76
anthrax,Milzbrand,2.32,4.72,2.71
anthropological,anthropologisch,5.53,3.82,5.14
anthropologist,Anthropologe,5.7,3.27,5.19
anthropology,Anthropologie,5.3,2.91,6
anti,Anti,4.47,4.23,5.05
antiaircraft,Flugabwehr-,4.85,4.6,4.73
antibiotic,Antibiotikum,5.88,4.05,5.72
antibiotics,Antibiotika,5.05,4.05,5.11
antichrist,antichrist,2.36,5.58,4.39
anticipate,erwarten,6,5.7,5.36
anticipation,Erwartung,5.26,5.39,5.53
antics,alt,3.95,5.1,5.24
antidote,Gegenmittel,6.55,3.24,6.08
antigravity,Anti Schwerkraft,5.74,5.1,3.77
antiquated,veraltet,5,4.95,4.69
antique,Antiquität,6.5,4,5.79
antiques,Antiquitäten,6.63,3.68,5.17
antiseptic,Antiseptikum,4.57,3.15,4.77
antisocial,unsozial,3.21,5.32,5.33
antsy,antsy,4.36,5.23,3.85
anus,Anus,2.9,4.39,4.96
anvil,Amboss,5.05,4.4,5.38
anxiety,Angst,2.38,4.78,3.39
anxious,Ängstlich,3.8,6.2,4.15
anytime,Jederzeit,5.81,4.6,5.32
aorta,aorta,4.35,3.64,4.37
aortic,Aorten,4.25,3.5,4.58
apache,Apache,5.2,3.7,4.95
apartment,Wohnung,5.72,3.8,5.33
apartments,Wohnungen,5,3.28,5.18
apathy,Apathie,3.68,3.8,5.15
ape,Affe,5.21,4.25,5.38
apex,Apex,5.52,3.48,5.17
aphrodisiac,Aphrodisiakum,6.43,5.96,5.04
apocalypse,Apokalypse,3.24,5.04,2.65
apologetic,entschuldigend,6.65,4,5
